Name,link,store,price
DeepCool Castle 280EX AIO CPU Liquid Cooler - Amazon Lightning Deal - $89.99,https://slickdeals.net/f/15215350-deepcool-castle-280ex-aio-cpu-liquid-cooler-amazon-lightning-deal-89-99,Amazon,$89.99
OLOy WarHawk RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop RAM for $89.99 w/ Free Shipping,https://slickdeals.net/f/15214852-oloy-warhawk-rgb-16gb-2-x-8gb-288-pin-ddr4-sdram-ddr4-4000-pc4-32000-desktop-ram-for-89-99-w-free-shipping,Newegg,$89.99
650W EVGA SuperNOVA 650 G+ 80 Plus Gold Modular Power Supply @Amazon $50,https://slickdeals.net/f/15214132-650w-evga-supernova-650-g-80-plus-gold-modular-power-supply-amazon-50,Amazon,$49.99
Apple Pencil (2nd Generation) $99,https://slickdeals.net/f/15215248-apple-pencil-2nd-generation-99,Amazon,$99
Lexar Professional NM700 M.2 2280 1TB PCIe Gen3 x4 NVMe 3D TLC Internal SSD for $97.99 w/ Free Shipping,https://slickdeals.net/f/15214801-lexar-professional-nm700-m-2-2280-1tb-pcie-gen3-x4-nvme-3d-tlc-internal-ssd-for-97-99-w-free-shipping,Newegg,$97.99
"CORSAIR Hydro Series, H100i RGB PLATINUM Liquid CPU Cooler *RFB* @Newegg (AR) $70",https://slickdeals.net/f/15214123-corsair-hydro-series-h100i-rgb-platinum-liquid-cpu-cooler-rfb-newegg-ar-70,Newegg,$70
"Lenovo Legion 5 Laptop: 15.6"" FHD, Ryzen 5 4600H, 8GB RAM, 256GB SSD, GTX 1650Ti",https://slickdeals.net/f/15212905-lenovo-legion-5-laptop-ryzen-5-4600h-15-6-fhd-120hz-ips-8gb-ddr4-256gb-ssd-1tb-hd-gtx-1650-ti-649-free-shipping,Walmart,$649
Seasonic Focus GM-750 750W 80+ Gold Semi-Modular Power Supply,https://slickdeals.net/f/15212713-seasonic-focus-gm-750-power-supply-750w-80-gold-semi-modular-7-year-warranty-for-65-99-w-fs-after-code-and-mir,Newegg,$66
Razer DeathAdder Essential Wired Optical Mouse - $24.53 + Free shipping,https://slickdeals.net/f/15214108-razer-deathadder-essential-wired-optical-mouse-24-53-free-shipping,Amazon,$24.53
"TEAMgroup T-FORCE CARDEA ZERO Z330 2TB NVMe SSD TLC (DRAM-less, PCIe3) + 2pc 5v/3-pin ARGB Strip Lights $179.99 at Amazon.com",https://slickdeals.net/f/15214045-teamgroup-t-force-cardea-zero-z330-2tb-nvme-ssd-tlc-dram-less-pcie3-2pc-5v-3-pin-argb-strip-lights-179-99-at-amazon-com,Amazon,$179.99
"HP - 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC - Ceramic white $159",https://slickdeals.net/f/15214189-hp-14-chromebook-intel-celeron-4gb-memory-32gb-emmc-ceramic-white-159,Best Buy,$159
